Q08162	Q08285
P39729	Q03690
P39677	Q08273
P23337	P27472
P32502	Q04048
P40091	Q07684
P25847	Q03834
P25694	Q12223
P46677	Q04226
P27999	Q06834
P15703	P21672
P40070	P53935
P04710	Q07807
P19955	Q02794
P07245	P29055
P21304	P39078
P00924	P38217
P10591	P25491
P19735	P40204
P30822	Q08886
P38773	Q06410
P39007	P48439
P40850	Q00578
P16661	P38842
P11747	Q04226
P16140	Q06436
P05453	P38760
P06781	Q08224
P53091	Q08032
P37291	P40089
P20604	P38077
P25625	P38822
P02557	Q03944
P39704	P46961
P16151	Q03554
P19414	P33322
P32495	P36048
P23595	P54786
Q02630	Q03407
P06102	P39008
P36048	Q12309
P32468	P37291
P47135	Q04660
P22579	P38144
P25515	Q12450
O13527	P53550
P53337	Q06451
P09435	P23291
P22216	P39966
P25354	Q04562
P32892	P53883
P40089	P47029
P19524	P47149
P53045	Q12006
P32911	P39954
P38217	Q99383
P10823	Q08886
P00890	Q06287
P43621	P53622
P32337	P53632
P43588	P43593
P15790	P38911
P42840	Q08492
P47135	P53227
P40469	P60010
P39954	Q04675
P02557	Q06287
P19736	Q04052
P32491	P60010
P09938	P32447
P18851	P39077
P47154	Q12445
Q04100	Q12349
P53731	Q05933
P29311	P32328
P04173	Q07800
P32468	P35691
P11710	P40570
P07149	P53156
P53927	Q02892
P04173	P38959
P00830	P05626
Q05043	Q12138
P32639	Q02875
P35182	Q12163
P06782	Q03897
P30822	Q12524
P47135	P53309
P60010	Q12749
P32854	Q12417
P02557	P40987
P87108	Q08204
P08678	P38064
P04806	Q00362
P00546	Q03707
P25632	P32573
P53954	Q06497
P39977	P47135
P04076	Q02821
P32606	P38203
P25567	P34160
P19659	P34162
Q03690	Q12531
P38286	P38993
P31539	P33313
P39515	P47038
P39986	Q03655
P30822	P32618
P32807	P46367
P39946	Q06568
P07244	P40856
Q01574	Q02821
P16661	P38286
P38262	P40480
P43682	P53934
P14291	P38798
P12398	P53233
P38346	Q06411
P12398	P33322
P18851	P42943
P39078	P39108
P32583	Q12457
P24384	Q02775
P28496	P40319
P38356	P39540
P32863	P34730
P48837	Q06410
P04173	P32807
P18851	P38009
P12868	P38959
P60010	Q04437
P19882	P38769
P16370	P20435
P16862	P23595
P53622	P60010
P38237	P40325
P20081	P24869
P43321	Q6B0W2
P43567	Q02205
P10614	P49018
P14906	Q08980
P39079	P41811
P38837	P53835
P04173	P08678
P38723	Q04697
P36520	Q04599
P35181	P38700
P01366	Q6B184
P13259	Q02821
Q03083	Q12486
P33298	Q03656
P25358	P38819
P15992	Q04177
P30822	P45819
P23179	Q02721
P36172	P39547
P06787	P18239
P26448	Q12329
P25453	P32327
P04161	P25337
P00546	P24868
P38633	P40573
O13537	P53541
P40970	P53224
P04397	P40352
P18562	Q00684
P06843	P60010
Q03790	Q08144
P53145	Q12522
P25613	P37020
P22696	P38764
P07703	P22276
P53322	Q12402
P06700	P22146
P09436	P38237
P23594	P53289
P04147	P24583
P00950	Q12223
P05150	P14904
P46681	P60010
P00950	P40960
P33399	Q12522
P40339	P40348
P47120	Q04177
P15891	P38885
P43682	Q03655
P07251	P30902
P40356	Q12124
P23642	P53330
P35209	P38921
P38992	Q04697
P35181	Q00776
P14741	P29311
P38285	P52892
P20676	P53184
P28320	P41940
Q12136	Q12444
P24870	P53197
P31109	P40357
P41909	Q05521
P31412	P37296
P12904	Q00684
P25491	P32807
P32491	Q06103
P39982	P47164
P50091	Q03935
P00912	P19146
P25651	Q12310
P13393	Q02939
P25358	Q12445
P28817	P40496
P14681	P25297
P25358	P35206
P04051	P25441
P25491	P32464
P38011	Q08601
P12709	P32468
P22134	P50094
P38264	P53954
P15646	Q12499
P54000	Saccharomyces cerevisiae
P50102	Q03330
P40054	P53030
P02309	P15790
P34730	P40048
P38989	P53632
P39682	Q05900
P40528	Q08271
P22147	Q04049
P39904	P47061
P33298	P43593
P32381	P47079
P33311	P53142
P17709	P38615
P53039	P53093
P04824	P12954
P14242	Q03834
P38144	P43609
P00175	Q02776
P28495	Q06604
P24719	P38840
P32604	P40070
P38286	Q08986
P26309	P47074
P36057	P38353
P00431	P53259
P32895	P38620
P17555	P40479
P25301	P34730
P40971	P43634
P27637	P32598
P25297	P39940
P11075	P38112
P38822	Q04048
P11433	P40507
P38248	Q08273
P16467	P24814
P53181	Q05787
P28817	Q03976
P09733	P32581
P14747	P19882
P32486	P43614
P00358	Q12349
P01123	P07560
P12695	P31244
P60010	Q08273
P04147	P15790
P47079	Q08273
P32259	P41913
P53064	P89105
P36048	Q12330
P32803	P42946
P54786	Q01684
P09880	P34252
P32502	Q08269
P12709	Q03497
P29055	Q07457
P34162	P47028
P53068	P53197
P40481	Q12349
P25582	P53261
P29340	Q03652
P19073	P22470
P32496	P53549
Q02892	Q08004
P13902	Q06409
P32319	Q04338
P32569	P32571
P40164	P53173
P32944	P50101
P04385	P14741
P53252	Q03944
P02294	P32349
P07251	P32828
P32601	P47093
P06774	P32582
P17709	P26755
P40561	P53316
P17709	Q02821
P41698	Q02630
P32473	P43588
P38555	P53093
P40440	Q04121
P07251	P09880
P11633	Q12464
P04385	Q00684
P06701	P19358
P25694	P53156
P35178	P36160
P42836	Q07967
P17967	P19735
P07278	P23291
P19882	Q12021
P36015	Q12255
P38701	Q07830
P38328	Q04636
P06839	P17255
P24869	P38072
P04806	P05317
P00360	P14741
P41903	Q02630
P43601	P50277
P06777	Q12230
Q02630	Q12453
P43123	Q05541
P40517	P47135
P04385	P35203
P17214	P36160
P29055	Q12047
P22696	P41895
P36125	P38822
P21672	P32582
P08018	P16387
P00950	P22336
P19262	P22204
P39076	Q12363
P15108	P28707
P21672	P22137
P40456	Q03920
P21242	Q03792
P49018	P53337
Q02724	Q03373
P35177	Q12030
P35729	Q02199
P32833	P54791
P06843	P15646
P32366	P38784
P10659	P32807
P36094	P53865
P32803	P39704
P29295	P40160
P40440	Q04257
P32324	P32797
P46949	P52553
P25046	P53114
P16467	P32911
P32867	Q04359
P32608	P53914
P17255	P40354
P38843	P53337
P36057	P38723
O94742	P40016
P19882	Q03373
P32598	P38911
Q04660	Q05931
P33338	P39743
P01095	P38753
P53295	Q07376
P09733	Q07657
P25297	P53924
P61864	Q04149
Q08685	Q12030
P23337	Q03935
P36117	P47093
P00812	P14742
P53100	Q12136
P02309	P28000
P18851	P60010
P22141	P32565
P28004	P52868
P53746	Q12359
P52286	Q12018
P34760	Q12749
P07284	Q04675
P38883	Q12522
P36094	Q07732
P09624	Q04437
P38959	Q03308
P38932	Q08754
P36130	P39077
P07279	P41733
P32364	P38723
P09733	P26188
P17123	Q07930
P23641	P38203
P22137	Q04149
P09435	P53940
P38817	Q06389
P04051	P32910
P15367	P38286
P38753	P40343
P13186	P14747
P32910	Q04307
P06100	P34909
P04807	P20081
P40352	P40513
P20433	Q06706
P32830	Q08749
P38823	P53924
Q12024	Q12522
P08458	P53691
P53345	Q03702
P46963	Q03957
P17255	P32610
P14922	Q6B184
Q04359	Q06410
Q03654	Q04693
Q07623	Q12522
P06103	Q05775
P40018	P40204
P04161	P38633
P33322	P38199
P42935	P46974
P53126	Q08438
Q06676	Q12349
P14741	P35192
Q12024	Q12176
P00950	P25846
P47128	Q12175
P87288	Q08902
P07703	P38114
P46677	Q05027
P22214	P40094
P39546	Q12328
P28274	P38627
P10080	P14291
P38079	P39007
P06774	Q02516
P09064	P38431
P32570	P38931
P38857	P40215
P02829	Q04437
P11747	Q05027
P21965	P29311
P25635	P53276
P19262	P40352
P15019	P40363
P39011	P40448
P15367	Q08271
P48582	P52917
P29465	P34226
P0C2H8	P47135
P42945	P46948
P35194	P38064
P06787	P32379
P09938	P21524
P32939	P39958
P38148	Q05911
P32389	P39014
P15705	P41811
P02294	P53067
P19882	P31384
P08004	P38691
P17123	P40020
P39935	Q08647
P50095	Q06436
Q06325	Q12385
P28496	P53930
Q06410	Q06623
P04806	P53043
P53184	Q06142
P25337	Q03654
P08518	P20435
P14742	P39009
P11484	P22133
P32855	Q06245
P06168	P23291
P21304	Q00776
P15790	P40010
P30619	P32867
P00830	P18961
P14832	Q99181
P40072	Q12349
P07259	P39743
Q06406	Q12026
P07703	P11484
P25299	P53979
P18239	P38217
P27515	P53939
P47135	P53757
P11353	P53040
P39706	P47150
P32366	P35497
P11972	P40450
P12398	P39743
P04817	P32334
P33203	P40204
Q06208	Q12303
P53316	Q07350
P38156	P53176
P06169	P32333
P43545	Q02821
P16467	P32598
P17157	P38794
P15442	P49704
P25491	Q03944
P47079	Q12347
P12962	P25293
P47119	P49686
P04397	P14741
P47135	Q04341
Q04322	Q08729
P32588	P53040
P19882	P32464
P50112	Q12382
P00445	P40202
P87263	Q04748
P22138	P36037
P17261	P43542
P28584	Q04121
P34077	Q03790
P47061	Q12071
P40204	Q05900
P28496	Q12181
P04173	P13434
P38993	Q08980
P17157	Q03338
P04147	P53261
P38902	Q06834
P39552	P46961
P29509	Q12222
P46961	Q12136
P54115	Q03330
P05986	P32565
P38837	Q04697
P53322	P53633
P35194	Q08004
P53082	Q12345
P33760	Q03714
P23641	P38085
P38633	P40091
P32473	Q04958
Q08273	Q12018
P22137	Q00684
P22336	P40051
P38361	Q04502
P32605	Q05900
P37012	P40565
P25044	P32861
P47118	Q03419
P39929	P80667
P39743	Q04934
P42838	Q06170
P41812	Q06672
P06245	P07278
P06701	P32861
P40362	Q06078
P06774	Q12159
P32854	P47090
P07283	Q04660
P42073	P45976
P47154	P53629
P32569	P53311
P33334	Q03338
P20604	P40215
P06774	Q12421
P03965	Q04437
P39551	Q07376
P20133	Q00618
P14540	P53917
P23285	P36103
P40971	Q03012
P47122	Q08726
P39014	P40364
P22138	P22470
P47168	Q02630
P38712	Q04437
P22137	Q04370
P43572	P53930
P25046	P32569
P38356	P47154
P36116	Q12071
P32366	P32563
P12695	P39108
P47135	P53080
P27929	P32902
P46681	P53168
P25659	P53550
P38282	P49704
P32911	Q04062
P38203	P39073
P02309	P09440
P41819	Q07381
P06243	P53114
P04821	Q12216
P35191	P38523
P53239	Q12063
P09232	Q12379
P11972	P38853
P37291	P38629
P08067	P26188
P29295	P40856
P38286	P53394
P00360	Q04660
P38987	P47912
P29311	Q04964
P00546	Q06032
P38121	P40339
P48234	Q06631
P32492	P32497
P25043	Q02630
P32912	Q12255
P40056	P53192
P22209	P38987
P32902	Q02950
P33334	Q06406
P06169	P24719
P25491	P32502
P23254	P39743
P32366	P46957
P39108	Q08972
P25651	P36081
P04147	P20676
P38356	Q99190
P20448	Q08208
P25635	Q06078
P32610	P53168
P28007	P33399
P04806	P25342
P14741	P39702
P21825	P38993
P25639	P42833
Q04659	Q05930
P38837	P40350
P50088	Q02516
P25379	Q06834
P15992	Q04491
P32639	Q03338
P39743	Q04322
P36053	P47135
P07213	P49334
P47135	P53831
P39729	Q03768
P39108	Q08224
P38276	Q02821
P16151	P25358
P36028	P39742
P40462	P47135
P21304	Q04149
P43597	Q03048
P33767	P41543
P27999	P40035
P00950	P08679
P15646	P53861
P38987	Q05871
P18238	P38702
P53337	Q12445
P47135	Q99373
P40027	P54074
P04385	P36113
P00830	P25635
Q03236	Q05942
Q00578	Q02939
P04806	P23292
P36130	P60010
P27515	Q07732
P04173	P38987
P10622	P32800
P32588	P53617
P32598	P45976
P16387	P32350
P02309	Q07442
P40958	Q03466
P14540	P38153
P00950	P53323
P14680	Q06151
P00830	P87263
P53917	Q03944
P12398	P39076
P10863	Q08920
P06838	P46672
P53271	Q04368
P32897	P39515
P40368	Q06410
P12709	P26188
P25042	P40015
P41544	P43603
P07260	Q07508
P16474	P19073
P53039	Q03322
P39730	Q01159
P25341	P53739
P38333	P53251
P32908	Q03954
P32471	P38987
P32499	Q02199
P12695	P25646
P28241	Q06389
P32829	P53971
P23594	Q00362
P32529	Q03941
P22138	P27692
P20486	P38634
P21538	P32333
P26755	P41940
P25568	P40054
P53973	Q06623
P23595	P38902
P22133	P25303
P01365	P32915
Q04437	Q12335
P14681	P18412
P25376	P40548
P20459	P38691
P23968	P38264
P22216	P40969
P32558	P32628
P38286	P39540
P35723	Q08980
P04385	P36130
P40693	Q12522
P40534	Q04675
P00830	P00856
P36104	Q06632
P39987	P40494
P37838	Q12514
P40693	Q12176
P31334	P32387
P33299	P38439
P18494	P23202
P31334	P38129
P06839	P33298
P25491	P38987
P53252	Q12223
P47095	Q06410
P33400	P40466
P38356	P53176
P37296	P39076
P27999	Q05530
P07342	P24719
P06786	P10080
P40553	P40956
P47027	Q02821
P05150	P38920
P32324	P43621
P06169	P23642
P12385	P37838
P33335	P53176
P40991	Q04660
P40011	Q02821
P25627	P53833
P04786	P43594
P17255	P38270
P38879	P40314
P32529	P32602
P53927	Q08004
P38992	P46965
P04806	P22204
P22803	Q02724
P00546	Q03834
P14681	P46655
Q02630	Q12012
P32602	P38348
P32565	P33299
P52917	Q04272
P38302	Q12309
P14772	Q12164
P05986	P07278
P32802	P38166
P39108	Q12329
P04456	P40069
P14906	Q07824
P04397	Q04660
P20081	P32599
P20604	P47122
P39081	Q12159
P16661	P38837
Q02831	Q04048
P07702	P50113
P24583	P39007
P08458	P23594
P53088	Q08686
P52286	Q03899
P01365	P53337
P32319	Q01560
P00360	P39076
P15891	P39004
Q12230	Q12236
P00546	P25558
P35191	P40054
P38691	P38873
P40548	Q07824
P22141	P33297
P33201	P38217
P19735	P32454
P33297	Q02554
P38758	P53064
P40510	Q02630
P17123	P46995
P00950	P26755
P21304	P49723
P36062	P38264
P40584	Q12349
P42943	P53197
P30283	Q08471
P23291	P38716
P40971	P53265
P32529	P38317
P38615	P38620
P38819	P53337
P38333	Q07381
P39940	Q06821
P39979	Q02969
P42884	Q07747
P32368	P40548
P33895	P47037
P36015	Q12241
P40955	Q06411
Q03718	Q12222
P16451	P32473
P17157	P35190
P25293	P41920
P33322	P39730
P31384	P39079
P32385	P43619
P40035	Q06170
P07703	P36121
P36108	P47135
P47054	Q05080
P53288	Q02804
P20604	P43601
P11978	P15992
P40364	P53622
P22202	P43636
P33335	P39552
P17709	Q12152
P25367	P39940
P43593	P53549
P15703	P20438
P19414	P39108
P15873	Q07980
P47135	Q08045
P32523	P33334
P40495	Q04437
P20434	P35718
P06777	Q12098
P29509	P53879
P25043	P38624
P40960	Q02647
P35817	Q07442
P43321	Q12368
Q08729	Q99332
P02309	P80428
P47037	Q07457
P09064	P40466
P22139	Q04418
P15790	P47079
P40459	P40971
P20459	P32501
P47117	Q05933
P11978	P12709
P25569	P40492
P28834	Q04437
P35197	P40073
P40917	P53303
P38298	P47154
P10659	P38987
P38217	P46672
P07149	P14680
P28004	P28320
P04817	Q12412
P30283	P42845
P36104	P42073
P00830	P05317
P25293	Q07794
P14540	Q12380
P38720	P53011
P06105	P32501
P16140	Q07350
P00546	P21657
P15367	P34167
P11978	Q08562
P47093	Q03338
P41811	P43621
P02557	P04451
P19073	P25694
P14540	P36104
P33298	P38348
P11747	P46677
P23641	Q07657
P16603	P39709
Q00402	Q03785
P19882	P32502
P32468	P46367
P46965	Q04697
P09624	P39743
P08539	P16892
P38805	P40991
P46965	Q02774
P53886	Q12157
P36037	P38753
P38286	Q12396
P33759	Q12300
Q06205	Q06208
P19658	P22224
P05030	P22133
P26309	Q12464
P47122	Q04437
Q12035	Q99176
Q03370	Q12185
P23595	P53130
P41940	Q08496
P15790	P43639
P53147	Q99181
P04817	P40319
P06100	P06102
P22133	P40348
P35206	Q04697
P29055	Q05779
P35206	Q02774
P40073	P53344
P41338	Q12505
P17065	P40466
P53215	Q02821
P36080	Q08754
P16862	P40339
P24719	P39954
P38264	P54862
P38286	Q12164
P07256	Q00916
P23202	P28320
P15992	Q07657
P32944	P38853
P27999	P40018
P12612	P36130
Q02774	Q02795
P19146	P38875
P32618	P48837
P36068	Q03973
P19735	P29952
P32523	P38241
P38137	P39545
P10080	Q06344
P36019	P53965
P40107	P40582
P06787	P40965
P07257	P40352
P47093	Q06406
P39705	Q02630
P25491	Q12223
P32569	Q99339
P32601	P40069
P26570	P34758
P20433	P20434
P14904	P39954
P15992	P26188
P39735	Q12263
P12398	P34252
P40316	P52891
P02829	P20081
P35723	P38356
P08518	P22204
P04173	P20053
P40066	Q02630
P32911	Q08550
P41911	P43577
P39996	P52290
P25694	P32524
P38751	Q12253
Q02821	Q05789
P14681	P38886
P06701	P10659
P27637	P53824
P32319	Q12446
P47037	P53156
P36033	P48813
P39987	Q04964
P02309	Q05359
P40991	P53136
P53207	P54999
P06243	P16140
P32600	P40061
P27466	P32341
P10081	P23291
P00924	Q03897
P38804	Q00245
P33311	P33328
P53538	Q01329
P20604	P47079
P10080	P53235
P32478	P38240
P37838	Q04660
P14907	P48837
P06839	P40364
P53861	Q12230
P33892	P38112
P04817	P16661
P07260	Q08920
P21538	P48743
P23301	P29295
P18238	Q12223
P05453	P38996
P22137	P40048
P23639	Q03096
P39940	P54005
P43550	Q06668
P19882	Q00246
P02557	P53323
P32807	Q04437
P38785	Q05031
P32628	P33299
P36082	P47135
P38842	Q12349
P25385	P41810
P04387	P47005
P40010	P40991
P25694	P39014
P20433	P23180
P27999	P36060
P36048	P53131
P25338	Q08974
P16661	Q06538
P35729	Q02629
P23641	P53599
P47057	Q04053
P12753	P32829
P35723	P40890
P33333	Q04437
P38431	P53966
P32328	P40484
P06839	P19882
P00546	P34252
P22133	P40469
P23500	P53322
P38356	Q12402
P60010	Q07084
P06169	P38328
P32601	P38555
P33301	P53150
P17064	P40075
P32191	P53157
P34167	P38734
P52918	Q12753
Q08496	Q12522
P06775	P47154
P28239	P50091
P09734	P53904
P32827	P38203
P20081	P32324
P11978	Q01477
P09201	Q99257
P20448	P25298
P53933	Q03776
P31378	P39987
O13576	Q07990
P25491	P25656
P15992	P20604
P53256	Q08162
P25382	P53877
P25637	P47135
P35206	P40350
P21651	Q02821
P38703	P50944
P39001	Q02630
P32902	P53305
P40971	P47124
P07286	P12683
P18852	P53269
P21268	P38203
P38798	P53628
P40073	Q03790
P15992	P53599
P41940	Q06142
P32499	P39705
P33299	P43588
P20435	P39940
P13181	Q12446
P33296	P38691
P38313	P53298
P00546	P54784
P28274	P53156
P37303	P80210
P32854	P38555
P38351	P53064
P02293	Q08004
P38764	P61864
P38915	P53040
P07806	Q12749
P53322	Q04949
Q06707	Q12692
P27472	P38147
P16140	P20604
P06777	P60010
P32366	P53147
P16140	Q12083
P08018	P12709
P46949	P53933
P38315	Q02629
P20967	P38316
P02829	P33313
Q92316	Q99380
P06168	Q99186
Q04947	Q12402
P42945	Q05636
P12709	P53197
P38890	Q03407
P40960	Q04748
P19735	P40089
P16140	P53599
P38886	P43588
P31111	Q12306
P26188	P41811
P08566	Q12379
P42073	Q12102
P32787	Q06436
P38968	Q08685
P11075	P33307
P19735	Q12230
P32259	P47821
P53146	Q12745
P25555	Q07478
P39936	P40561
P39929	Q03049
P16862	P38987
P31378	P60010
Q06708	Q12417
P40041	Q06493
P32911	Q03558
P49955	Q04693
P10659	Q12223
P32345	P38690
P33297	Q08550
P42073	Q06224
P05150	Q02574
P09734	P53632
P38820	P40465
P48236	P53868
P53549	Q04177
P32497	Q01159
P40323	P46995
Q12517	Q3E7X9
Q02821	Q04178
P21242	P32911
P04451	P19882
P06838	P09032
P00924	Q03010
P40917	P50113
P38691	P40856
P08468	P53322
P38930	P53254
P04173	P14747
P00546	P36167
P00890	P26755
P43582	Q02784
P04387	Q05930
P25586	Q04305
P36131	Q03954
P20604	P29295
P36008	P38987
P04817	P41543
P40541	P47037
P40856	Q12159
P08456	P38993
P32912	Q12241
P25491	P89105
P54074	Q00381
P02557	P26755
P24814	P61864
P07260	Q06436
P54115	Q04675
P41735	P41940
P25451	P25605
P38286	P38842
P53633	Q02821
P39743	P53169
P04051	P28000
P38930	Q02892
Q01448	Q06208
P38750	P40066
P21243	P22141
P11075	P14291
P19659	P36100
P00546	P08153
P40014	Q04477
P06169	P39946
Q02574	Q99176
Q05930	Q12018
P07703	P29311
P34216	P61864
Q01329	Q12102
P30822	P49686
P06243	P12695
P25357	P40480
P27692	P38439
P39534	Q02574
P38822	Q12442
P32802	P32906
P06843	P53254
P32345	Q12199
P04817	P18414
P25651	Q06648
P39009	Q04964
P47011	Q03653
Q01329	Q06224
P00950	P22141
P13186	P36008
P43571	P53174
P20676	Q99189
P38797	P40352
P35190	Q02630
P42935	Q02884
P53159	Q04477
P08566	Q04437
P11433	P25294
P32367	P33339
P25376	P46961
P40573	Q06640
P34730	P53043
P25344	P36116
P32381	P41940
P32259	Q02772
P38822	Q12244
P33895	Q07457
P06839	P40106
P35210	P50080
P23900	Q03322
P14681	Q03373
P40969	P53298
P32458	P54786
P25344	Q99383
P08018	P38231
P38748	Q99271
P02309	P38110
P39711	Q02209
P25491	P25846
P32628	P38304
P53093	Q04053
P15108	P47912
P19659	Q08119
P07259	P16862
P15873	P40028
P42846	Q06436
O13554	P40465
P43597	Q12329
P38633	Q12259
P14741	P14742
P40327	P42843
P53070	Q02630
P38719	Q03558
P40054	Q08728
P20676	Q02821
P26755	P41800
P53091	Q03656
P20604	P28274
P53049	Q12176
P30902	P81450
Q04226	Q05027
P24719	P38699
P38633	P38913
P38879	Q04660
P14724	P38042
P53853	Q04199
P06243	P07251
P07251	P21306
Q05946	Q12220
Q02629	Q03862
P25694	P52891
P38286	Q99190
Q02884	Q04868
P40971	Q02256
P02309	Q12341
P32366	Q08428
P16140	P19735
P31334	P36519
P06168	P32911
P33204	Q12156
P29465	Q06541
P40548	P43542
P40563	P47068
P53040	Q02336
P06787	P32573
P16474	P32863
P48606	Q08550
P20459	Q05791
P09734	P34164
P19882	Q12223
P40515	P47135
P21304	P32908
P31384	P38931
P53859	Q12277
P16140	P38316
P11484	Q07657
P28496	P38987
P16474	Q04477
P08456	Q08986
P36084	Q02875
P25491	P53156
P40038	P60010
P29055	P40557
P20604	P32381
P25301	P47065
P00830	P22470
P40094	Q06096
P30822	P40355
P38858	Q05533
P40956	Q12134
P32917	P53298
P15108	P18851
P80235	Q12748
P38771	Q02630
Q12273	Q99209
P21242	P53106
P11633	P22336
P38719	P60010
P02557	P32345
P47135	Q06580
Q08270	Q12396
P07251	Q06164
P25367	P25491
P06243	P28000
P38241	Q03654
P16474	P28519
P42843	P61864
P53335	Q02979
P00812	P38987
P54784	Q12329
Q08496	Q08975
P24870	P40971
P12684	Q06449
P41543	Q03723
P29340	Q05568
P06787	P34730
P09435	P53622
P25367	Q12379
P32657	P43639
P27801	Q12241
P40054	P49723
P32836	P38217
P13711	P35056
P38264	P53838
P16474	P32432
P25651	P54786
P38986	Q02866
P11972	Q06696
P04806	P25694
P38873	Q12329
P02557	P53127
P40054	Q12262
P29311	P38691
P13434	P25491
P00950	P22007
P07262	P47017
P07259	P14291
P53238	P53281
P16862	Q12223
P38331	Q12024
Q12157	Q12440
P29055	Q12680
P16370	P20433
P07143	Q08232
P02994	P53924
P35206	Q04952
P14742	P25343
P38932	Q08144
P25297	P39743
P53048	P87266
P32562	P47037
P40319	P53954
P06104	P32773
P00546	P40038
P36160	Q06344
P14306	P40368
P38806	P53201
P13902	Q04893
P40348	P49956
P47133	P80967
P07251	P32806
P36057	P38298
P38633	P39961
P08458	Q12449
P39540	P53174
P02294	P15790
Q08975	Q12018
Q04053	Q08992
P20437	P54115
P12709	P38319
P33299	P38764
P15646	Q6Q547
P38956	Q02821
P53914	Q07623
P10080	P53861
P20434	P39940
P32864	P39969
P40479	Q08975
P15790	Q04373
P53924	Q04964
P09734	Q04437
P43619	Q12489
P07244	P40348
P37012	Q06640
P11484	P20604
P40151	Q03177
P13517	P28495
P00830	P22204
O13563	Q12377
P38697	P43124
P06242	Q08754
P07170	P17157
P00931	P39743
P33418	P46367
P20437	Q12365
P41735	P41833
P46965	P53045
P33299	P38737
P35189	Q12030
P38273	Q03308
P08458	P40364
P36046	P43570
P00546	P09119
P47157	Q12349
P12611	P38203
P00427	P07255
P11484	P53599
P38264	P53629
P04173	Q03774
P25583	P41833
P38353	P46956
P38968	P54837
Q12206	Q12329
P25385	P32074
P29366	P39969
P10355	P10834
P20434	P40045
Q03532	Q12522
P36068	Q02821
P06168	P32598
P32499	Q02629
P23291	Q08224
P04397	P12754
P40054	P49626
P18480	P22082
P29366	P38041
P06787	Q04439
P16387	P32337
P26188	P38691
P32892	Q12522
Q03532	Q12176
P00331	P23291
P38174	P38629
P35728	Q01329
P09547	Q00916
P10659	P53156
Q06449	Q12446
P25454	P38920
P38859	Q04377
P35194	P53927
Q00711	Q08230
P47033	Q12349
P40027	Q08749
P16861	P32502
P25358	P25376
P16892	P53171
P00546	P43618
P38348	P40956
P11972	P53039
P19882	P39110
P47129	Q12349
P38217	P41896
P28834	P39743
P38929	Q05498
P00358	Q12380
P41902	P53222
P06782	P32570
P29469	P29496
P04806	P35691
P32641	P33298
P32466	P41800
P40850	P53243
P38264	P42946
P19414	P36017
P16474	P33750
P15705	P31539
P06243	Q08224
P33399	P39935
P25651	P38967
P13393	P40565
P00924	P41811
P32561	Q12432
P05743	P34162
P07259	P53894
P16151	Q01590
P06704	P32380
P53202	Q03919
P23561	P32917
P21264	Q12007
P32529	P39557
P06839	P39078
P00830	Q12063
P12398	P53894
P19736	Q07350
P25366	P38738
P34162	Q02336
P06782	P47821
P10591	P38792
P07251	P32598
P19454	P53150
P40567	Q08963
P38262	P47172
Q12176	Q12754
P07249	P07250
P22216	P53254
P32325	Q06410
P00830	P40352
P20604	Q00955
P23180	Q99188
P10507	P25846
P47135	Q04409
P47037	Q08208
P48837	Q02932
P46677	Q12464
P25491	P53323
Q00402	Q06629
P12709	Q12152
P32581	P39076
P38269	Q02574
P49686	Q03862
P12695	P38153
P09734	Q08273
P02557	P53867
P32793	P53933
P53253	Q00402
P25612	Q12219
P12709	Q03048
P38822	Q12140
P38987	Q03063
P32569	P38615
P15705	P28707
P19414	Q04675
P25298	P53040
P35723	Q06451
P41835	Q04660
P19882	P25846
P32915	P35179
P02829	P41808
P00890	P32569
P38182	Q12289
Q03954	Q12250
P04386	P32585
P53271	P53726
P16474	P25615
P06782	P09232
P38993	P53337
P25040	P32569
P38633	P43639
P30665	Q01454
P38723	P41930
P32786	P32902
P43568	Q05635
P52917	Q06263
P25655	Q12030
P25453	P47079
P18238	P53323
P38079	Q12320
P32366	Q03935
P19735	P31539
P35177	Q12060
P38737	P43588
Q01939	Q12250
P40020	Q03898
P46961	Q12450
P16474	P32361
P40451	P40562
P38217	P53962
P48581	P53933
P08456	P33767
P24869	P53068
P33891	P41834
P39935	Q00916
P28000	P43594
P32318	Q02821
P32366	P36013
P09733	P53877
P40016	Q12377
P11484	P19735
P25377	Q12265
P32527	P38011
P38756	P47135
P34238	P38822
P12709	P32863
P40164	Q07732
P21592	P40040
P60010	Q08649
P25046	P36006
P39110	P46670
P24719	P28274
P00950	P26448
P22336	Q03834
Q07381	Q12754
P30822	P32800
P23291	P38013
P16140	P20459
P53238	Q08729
P38197	P39003
P33201	Q12522
P38822	P53184
P22579	Q08923
P00830	P26754
P31384	P43569
P42833	Q03723
P38769	P47093
P25586	Q00776
P53131	P54999
P25491	Q03899
P32911	Q03897
P33750	P39077
P29295	P53252
P53176	Q07904
P32529	P38318
P32558	P38930
P26188	P61864
P12709	Q03533
P47160	Q04338
P38708	P40339
P32337	Q04867
Q08496	Q08962
P32565	Q12446
P23287	P25343
P24719	Q06891
P38628	P40151
P06243	Q12329
P28007	P33322
P32842	Q03655
Q01532	Q05946
P33322	P37291
P25491	P32259
Q07913	Q08204
O13555	P32569
P0C0X0	Q12517
P40579	P53859
P17214	P40050
P36164	Q06815
P43592	Q08278
P09733	P32381
P19735	P38009
P16140	P33301
P34730	P40352
P39993	P40970
P36025	Q02630
P12684	Q05787
P04173	P24719
P36126	P38236
P14291	Q12144
P32861	Q12476
